test_case_id,category,description,order_id,order_name,processed_at,cancelled_at,financial_status,currency_code,taxes_included,gross_merchandise_cash,tax_liability_deducted,shipping_revenue_collected,refunded_cash_total,net_cash_in,unrecovered_cogs,outbound_shipping_cost,gateway_retained_fee,operational_costs,net_cash_out,net_margin_cash,order_gross_profit,f03_breach,f03_loss,is_merchandise_loss,is_fulfillment_induced_loss,evaluability_status,is_shipping_cost_estimated,is_gateway_fee_estimated,is_cogs_missing,is_bundle,flags,rollup_date_utc,rollup_date_shop_tz,shop_timezone,usd_fx_rate,net_cash_in_usd,net_cash_out_usd,net_margin_cash_usd,f03_loss_usd,gross_shipping_revenue,shipping_tax_adjustment,net_shipping_refund,net_shipping_revenue,test_status
TC-01-null-cogs-mixed-lines,data_availability,Stress-testing formula behavior when a line item lacks cost data: missing Line 2 COGS makes true order profitability unverifiable.,gid://shopify/Order/7001000001,#1001,2026-09-15T14:22:10Z,,PAID,USD,False,84.44,0.0,0.0,0.0,84.44,43.25,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,False,NOT_EVALUABLE,False,False,True,False,is_cogs_missing,2026-09-15,2026-09-15,UTC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
TC-02-shipping-invoice-lag,data_availability,3PL shipping invoice lagged: Rev $37.74 - COGS $26.15 - EstShip $11.40 - Fee $1.25 = -$1.06 breach with fallback shipping.,gid://shopify/Order/7001000002,#1002,2026-09-15T15:00:00Z,,PAID,USD,False,37.74,0.0,0.0,0.0,37.74,26.15,11.4,1.25,12.65,38.8,-1.06,11.59,True,1.06,False,True,EVALUATED_ESTIMATED,True,False,False,False,is_shipping_cost_estimated,2026-09-15,2026-09-15,UTC,1.0,37.74,38.8,-1.06,1.06,0.0,0.0,0.0,0.0,PASS
TC-03-gateway-fee-missing-razorpay,data_availability,Missing gateway fee on third-party processor (Razorpay): Rev INR 1499 - COGS INR 1320 - Ship INR 180 - EstFee INR 35.38 = -INR 36.38 breach.,gid://shopify/Order/7001000003,#1003,2026-09-15T16:00:00Z,,PAID,INR,False,1499.0,0.0,0.0,0.0,1499.0,1320.0,180.0,35.38,215.38,1535.38,-36.38,179.0,True,36.38,False,True,EVALUATED_ESTIMATED,False,True,False,False,is_gateway_fee_estimated,2026-09-15,2026-09-15,Asia/Kolkata,0.011976047904191617,17.95,18.39,-0.44,0.44,0.0,0.0,0.0,0.0,PASS
TC-04A-order-discount-unapplied-naive,discount,Order coupon unapplied (naive query): Rev $60.00 - COGS $42.50 - Ship $8.20 - Fee $2.04 = +$7.26 healthy.,gid://shopify/Order/7001000004,#1004A,2026-09-16T10:00:00Z,,PAID,USD,False,60.0,0.0,0.0,0.0,60.0,42.5,8.2,2.04,10.24,52.74,7.26,17.5,False,0.0,False,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-16,2026-09-16,UTC,1.0,60.0,52.74,7.26,0.0,0.0,0.0,0.0,0.0,PASS
TC-04B-order-discount-applied-correct,discount,Order coupon applied (correct): Rev $35.00 - COGS $42.50 - Ship $8.20 - Fee $1.32 = -$17.02 breach.,gid://shopify/Order/7001000005,#1004B,2026-09-16T10:05:00Z,,PAID,USD,False,35.0,0.0,0.0,0.0,35.0,42.5,8.2,1.32,9.52,52.02,-17.02,-7.5,True,17.02,True,False,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-16,2026-09-16,UTC,1.0,35.0,52.02,-17.02,17.02,0.0,0.0,0.0,0.0,PASS
TC-05-stacked-auto-plus-code-discount,discount,Stacked automatic + coupon code: Rev $54.70 - COGS $51.25 - Ship $7.85 - Fee $1.89 = -$6.29 breach.,gid://shopify/Order/7001000006,#1005,2026-09-16T11:00:00Z,,PAID,USD,False,54.7,0.0,0.0,0.0,54.7,51.25,7.85,1.89,9.74,60.99,-6.29,3.45,True,6.29,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-16,2026-09-16,UTC,1.0,54.7,60.99,-6.29,6.29,0.0,0.0,0.0,0.0,PASS
TC-06-taxes-included-gst-inr,tax,"taxesIncluded=true (GST 18%): Sticker INR 2360, Tax INR 360 -> NetRev INR 2000 - COGS INR 1850 - Ship INR 250 - Fee INR 55.70 = -INR 155.70 breach.",gid://shopify/Order/7001000007,#1006,2026-09-16T12:00:00Z,,PAID,INR,True,2360.0,360.0,0.0,0.0,2000.0,1850.0,250.0,55.7,305.7,2155.7,-155.7,150.0,True,155.7,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-16,2026-09-16,Asia/Kolkata,0.011976047904191617,23.95,25.82,-1.87,1.87,0.0,0.0,0.0,0.0,PASS
TC-07-taxes-excluded-us-sales-tax,tax,taxesIncluded=false: Subtotal $75.50 - COGS $68.40 - Ship $11.20 - Fee $2.67 = -$6.77 breach.,gid://shopify/Order/7001000008,#1007,2026-09-16T13:00:00Z,,PAID,USD,False,75.5,0.0,0.0,0.0,75.5,68.4,11.2,2.67,13.87,82.27,-6.77,7.1,True,6.77,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-16,2026-09-16,UTC,1.0,75.5,82.27,-6.77,6.77,0.0,0.0,0.0,0.0,PASS
TC-08-markets-multicurrency-eur-usd,currency,Shopify Markets EUR customer / USD shop: shopMoney $92.40 - COGS $88.00 - Ship $8.50 - Fee $2.98 = -$7.08 breach.,gid://shopify/Order/7001000009,#1008,2026-09-16T14:00:00Z,,PAID,USD,False,92.4,0.0,0.0,0.0,92.4,88.0,8.5,2.98,11.48,99.48,-7.08,4.4,True,7.08,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-16,2026-09-16,UTC,1.0,92.4,99.48,-7.08,7.08,0.0,0.0,0.0,0.0,PASS
TC-09-partially-refunded-line-return,financial_status,PARTIALLY_REFUNDED with restock: NetRev $45.00 - COGS $36.50 - Ship $9.80 - Fee $2.91 = -$4.21 breach.,gid://shopify/Order/7001000010,#1009,2026-09-16T15:00:00Z,,PARTIALLY_REFUNDED,USD,False,90.0,0.0,0.0,45.0,45.0,36.5,9.8,2.91,12.71,49.21,-4.21,8.5,True,4.21,False,True,EVALUATED_CONFIRMED,False,False,False,False,,2026-09-16,2026-09-16,UTC,1.0,45.0,49.21,-4.21,4.21,0.0,0.0,0.0,0.0,PASS
